plotid,quadrant,layer,plantid,percent_cover,date
1f,1,ground,PRUNLAU,1,2024-07-05
1f,1,ground,HYACNON,0.1,2024-07-05
1f,1,ground,RUBUSPP,2,2024-07-05
1f,1,ground,DRYODIL,0.1,2024-07-05
1f,1,ground,POACFAM,0.1,2024-07-05
1f,1,shrub,RUBUSPP,0.1,2024-07-05
1f,2,ground,RUBUSPP,0.1,2024-07-05
1f,2,ground,HYACNON,0.1,2024-07-05
1f,2,ground,GALIAPA,0.1,2024-07-05
1f,2,ground,PTERAQU,1,2024-07-05
1f,2,ground,PRUNLAU,0.1,2024-07-05
1f,2,ground,ALNGLUT,0.1,2024-07-05
1f,2,ground,BETUSPP,0.1,2024-07-05
1f,2,ground,CASTSAV,0.1,2024-07-05
1f,2,shrub,PRUNLAU,0.1,2024-07-05
1f,2,shrub,CASTSAV,1,2024-07-05
1f,2,shrub,RUBUSPP,0.1,2024-07-05
1f,3,ground,PRUNLAU,0.1,2024-07-05
1f,3,ground,RUBUSPP,0.1,2024-07-05
1f,3,ground,CASTSAV,0.1,2024-07-05
1f,3,ground,BETUSPP,0.1,2024-07-05
1f,3,ground,SALICAP,0.1,2024-07-05
1f,3,shrub,CASTSAV,1,2024-07-05
1f,3,shrub,BETUSPP,1,2024-07-05
1f,4,ground,BETUSPP,0.1,2024-07-05
1f,4,ground,CASTSAV,0.1,2024-07-05
1f,4,ground,PRUNLAU,0.1,2024-07-05
1f,4,shrub,CASTSAV,1,2024-07-05
1f,4,shrub,BETUSPP,1,2024-07-05
1ga,1,ground,HYACNON,95,2024-07-05
1ga,1,ground,HEDEHEL,2,2024-07-05
1ga,1,ground,DRYODIL,1,2024-07-05
1ga,1,ground,TEUCSCO,0.1,2024-07-05
1ga,1,ground,CASTSAV,0.1,2024-07-05
1ga,1,ground,RANUREP,1,2024-07-05
1ga,1,ground,RUBUSPP,1,2024-07-05
1ga,1,shrub,HEDEHEL,2,2024-07-05
1ga,1,shrub,LONIPER,0.1,2024-07-05
1ga,1,shrub,ACERPSE,1,2024-07-05
1ga,1,shrub,CASTSAV,1,2024-07-05
1ga,1,shrub,DRYODIL,0.1,2024-07-05
1ga,2,ground,HYACNON,80,2024-07-05
1ga,2,ground,HEDEHEL,10,2024-07-05
1ga,2,ground,LONIPER,0.1,2024-07-05
1ga,2,ground,DRYODIL,2,2024-07-05
1ga,2,ground,RUBUSPP,1,2024-07-05
1ga,2,ground,ACERPSE,1,2024-07-05
1ga,2,ground,CASTSAV,0.1,2024-07-05
1ga,2,ground,PTERAQU,1,2024-07-05
1ga,2,ground,TEUCSCO,5,2024-07-05
1ga,2,shrub,HEDEHEL,2,2024-07-05
1ga,2,shrub,ACERPSE,5,2024-07-05
1ga,2,shrub,CASTSAV,0.1,2024-07-05
1ga,2,shrub,LONIPER,2,2024-07-05
1ga,2,shrub,RUBUSPP,0.1,2024-07-05
1ga,2,shrub,DRYODIL,0.1,2024-07-05
1ga,2,shrub,ILEXAQU,5,2024-07-05
1ga,3,ground,HYACNON,50,2024-08-05
1ga,3,ground,RUBUSPP,15,2024-08-05
1ga,3,ground,DRYODIL,2,2024-08-05
1ga,3,ground,TEUCSCO,0.1,2024-08-05
1ga,3,ground,HEDEHEL,10,2024-08-05
1ga,3,ground,PTERAQU,1,2024-08-05
1ga,3,ground,ACERPSE,1,2024-08-05
1ga,3,ground,CASTSAV,0.1,2024-08-05
1ga,3,ground,HYPEAND,1,2024-08-05
1ga,3,ground,URTIDIO,1,2024-08-05
1ga,3,ground,GALIAPA,0.1,2024-08-05
1ga,3,ground,ILEXAQU,0.1,2024-08-05
1ga,3,shrub,RUBUSPP,10,2024-08-05
1ga,3,shrub,DRYODIL,1,2024-08-05
1ga,3,shrub,PTERAQU,0.1,2024-08-05
1ga,3,shrub,HEDEHEL,1,2024-08-05
1ga,3,shrub,CASTSAV,0.1,2024-08-05
1ga,3,shrub,ILEXAQU,5,2024-08-05
1ga,3,shrub,HYPEAND,0.1,2024-08-05
1ga,3,shrub,BETUPUB,5,2024-08-05
1ga,4,ground,HYACNON,99,2024-08-05
1ga,4,ground,HEDEHEL,1,2024-08-05
1ga,4,ground,CASTSAV,0.1,2024-08-05
1ga,4,ground,URTIDIO,1,2024-08-05
1ga,4,ground,ACERPSE,0.1,2024-08-05
1ga,4,ground,TARAOFF,0.1,2024-08-05
1ga,4,shrub,HEDEHEL,1,2024-08-05
1ga,4,shrub,ACERPSE,10,2024-08-05
1ga,4,shrub,CASTSAV,0.1,2024-08-05
1gb,1,ground,JUNCSPP,5,2024-08-05
1gb,1,ground,RUBUSPP,30,2024-08-05
1gb,1,ground,HYACNON,50,2024-08-05
1gb,1,ground,DRYODIL,2,2024-08-05
1gb,1,ground,BETUSPP,0.1,2024-08-05
1gb,1,ground,BETUPUB,0.1,2024-08-05
1gb,1,ground,CASTSAV,0.1,2024-08-05
1gb,1,ground,ATHYFIL,2,2024-08-05
1gb,1,shrub,BETUPUB,0.1,2024-08-05
1gb,1,shrub,BETUSPP,20,2024-08-05
1gb,1,shrub,DRYODIL,5,2024-08-05
1gb,1,shrub,CASTSAV,20,2024-08-05
1gb,1,shrub,ATHYFIL,1,2024-08-05
1gb,1,shrub,RUBUSPP,30,2024-08-05
1gb,2,ground,CASTSAV,0.1,2024-08-05
1gb,2,ground,HYACNON,60,2024-08-05
1gb,2,ground,DRYODIL,10,2024-08-05
1gb,2,ground,RUBUSPP,1,2024-08-05
1gb,2,ground,BETUSPP,0.1,2024-08-05
1gb,2,ground,BETUPUB,0.1,2024-08-05
1gb,2,ground,JUNCSPP,5,2024-08-05
1gb,2,shrub,CASTSAV,25,2024-08-05
1gb,2,shrub,DRYODIL,5,2024-08-05
1gb,2,shrub,BETUSPP,2,2024-08-05
1gb,2,shrub,BETUPUB,0.1,2024-08-05
1gb,2,shrub,RUBUSPP,2,2024-08-05
1gb,3,ground,HYACNON,60,2024-08-05
1gb,3,ground,RUBUSPP,2,2024-08-05
1gb,3,ground,CASTSAV,5,2024-08-05
1gb,3,ground,DRYODIL,2,2024-08-05
1gb,3,ground,JUNCSPP,5,2024-08-05
1gb,3,ground,BETUPUB,0.1,2024-08-05
1gb,3,shrub,CASTSAV,30,2024-08-05
1gb,3,shrub,BETUSPP,0.1,2024-08-05
1gb,3,shrub,BETUPUB,2,2024-08-05
1gb,3,shrub,JUNCSPP,0.1,2024-08-05
1gb,3,shrub,DRYODIL,1,2024-08-05
1gb,3,shrub,RUBUSPP,1,2024-08-05
1gb,4,ground,HYACNON,60,2024-08-05
1gb,4,ground,BETUPUB,5,2024-08-05
1gb,4,ground,DRYODIL,5,2024-08-05
1gb,4,ground,JUNCSPP,2,2024-08-05
1gb,4,ground,RUBUSPP,5,2024-08-05
1gb,4,ground,CASTSAV,1,2024-08-05
1gb,4,ground,PTERAQU,1,2024-08-05
1gb,4,shrub,RUBUSPP,15,2024-08-05
1gb,4,shrub,BETUSPP,15,2024-08-05
1gb,4,shrub,CASTSAV,20,2024-08-05
1gb,4,shrub,PTERAQU,2,2024-08-05
1gb,4,shrub,DRYODIL,0.1,2024-08-05
1gb,4,shrub,JUNCSPP,0.1,2024-08-05
1gc,1,ground,HYACNON,30,2024-08-05
1gc,1,ground,RUMESPP,2,2024-08-05
1gc,1,ground,RUBUSPP,20,2024-08-05
1gc,1,ground,JUNCSPP,5,2024-08-05
1gc,1,ground,DIGIPUR,0.1,2024-08-05
1gc,1,ground,DRYODIL,10,2024-08-05
1gc,1,ground,SILEDIO,0.1,2024-08-05
1gc,1,ground,BETUSPP,1,2024-08-05
1gc,1,ground,RUMEOBT,0.1,2024-08-05
1gc,1,ground,CASTSAV,0.1,2024-08-05
1gc,1,ground,CAREREM,2,2024-08-05
1gc,1,ground,HOLCLAN,5,2024-08-05
1gc,1,ground,SALICAP,0.1,2024-08-05
1gc,1,ground,ILEXAQU,0.1,2024-08-05
1gc,1,ground,ACERPSE,0.1,2024-08-05
1gc,1,shrub,BETUSPP,10,2024-08-05
1gc,1,shrub,CASTSAV,25,2024-08-05
1gc,1,shrub,RUBUSPP,5,2024-08-05
1gc,1,shrub,DRYODIL,1,2024-08-05
1gc,1,shrub,JUNCSPP,0.1,2024-08-05
1gc,2,ground,BETUSPP,5,2024-08-05
1gc,2,ground,RUMESPP,5,2024-08-05
1gc,2,ground,HOLCLAN,10,2024-08-05
1gc,2,ground,RUBUSPP,2,2024-08-05
1gc,2,ground,HYACNON,15,2024-08-05
1gc,2,ground,DRYODIL,2,2024-08-05
1gc,2,ground,JUNCSPP,1,2024-08-05
1gc,2,ground,CASTSAV,0.1,2024-08-05
1gc,2,shrub,BETUSPP,15,2024-08-05
1gc,2,shrub,CASTSAV,15,2024-08-05
1gc,2,shrub,DRYODIL,0.1,2024-08-05
1gc,3,ground,RUBUSPP,30,2024-08-05
1gc,3,ground,HYACNON,10,2024-08-05
1gc,3,ground,DRYODIL,2,2024-08-05
1gc,3,ground,BETUSPP,5,2024-08-05
1gc,3,ground,HOLCLAN,5,2024-08-05
1gc,3,ground,JUNCSPP,5,2024-08-05
1gc,3,ground,ILEXAQU,0.1,2024-08-05
1gc,3,ground,RUMESPP,1,2024-08-05
1gc,3,shrub,CASTSAV,2,2024-08-05
1gc,3,shrub,BETUSPP,20,2024-08-05
1gc,3,shrub,JUNCSPP,0.1,2024-08-05
1gc,3,shrub,DRYODIL,0.1,2024-08-05
1gc,3,shrub,RUBUSPP,2,2024-08-05
1gc,4,ground,HYACNON,25,2024-08-05
1gc,4,ground,BETUSPP,5,2024-08-05
1gc,4,ground,RUBUSPP,5,2024-08-05
1gc,4,ground,JUNCSPP,20,2024-08-05
1gc,4,ground,DRYODIL,5,2024-08-05
1gc,4,ground,CASTSAV,0.1,2024-08-05
1gc,4,ground,HOLCLAN,2,2024-08-05
1gc,4,ground,ILEXAQU,0.1,2024-08-05
1gc,4,ground,SALICAP,0.1,2024-08-05
1gc,4,ground,EPILTET,0.1,2024-08-05
1gc,4,ground,SALISPP,0.1,2024-08-05
1gc,4,ground,CAREREM,1,2024-08-05
1gc,4,shrub,BETUSPP,15,2024-08-05
1gc,4,shrub,DRYODIL,1,2024-08-05
1gc,4,shrub,CASTSAV,10,2024-08-05
1gc,4,shrub,RUBUSPP,2,2024-08-05
1gc,4,shrub,JUNCSPP,2,2024-08-05
1gc,4,shrub,SALISPP,1,2024-08-05
1mc,1,ground,HYACNON,95,2024-08-05
1mc,1,ground,DRYODIL,2,2024-08-05
1mc,1,ground,ACERPSE,0.1,2024-08-05
1mc,1,ground,ATHYFIL,1,2024-08-05
1mc,1,shrub,ACERPSE,60,2024-08-05
1mc,1,shrub,CASTSAV,0.1,2024-08-05
1mc,1,shrub,DRYODIL,0.1,2024-08-05
1mc,2,ground,HYACNON,95,2024-08-05
1mc,2,ground,ATHYFIL,1,2024-08-05
1mc,2,ground,DRYODIL,5,2024-08-05
1mc,2,ground,CASTSAV,0.1,2024-08-05
1mc,2,shrub,CASTSAV,5,2024-08-05
1mc,2,shrub,ACERPSE,10,2024-08-05
1mc,2,shrub,DRYODIL,1,2024-08-05
1mc,3,ground,HYACNON,95,2024-08-05
1mc,3,ground,ATHYFIL,2,2024-08-05
1mc,3,ground,DRYODIL,10,2024-08-05
1mc,3,shrub,ACERPSE,45,2024-08-05
1mc,3,shrub,CASTSAV,2,2024-08-05
1mc,3,shrub,DRYODIL,2,2024-08-05
1mc,3,shrub,ATHYFIL,0.1,2024-08-05
1mc,4,ground,HYACNON,99,2024-08-05
1mc,4,ground,DRYODIL,0.1,2024-08-05
1mc,4,ground,ATHYFIL,2,2024-08-05
1mc,4,shrub,ACERPSE,30,2024-08-05
1mc,4,shrub,CASTSAV,5,2024-08-05
1o,1,ground,HYACNON,40,2024-10-05
1o,1,ground,ACERPSE,0.1,2024-10-05
1o,1,ground,RUBUSPP,5,2024-10-05
1o,1,ground,DRYODIL,1,2024-10-05
1o,1,ground,RUMESPP,1,2024-10-05
1o,1,ground,BETUSPP,1,2024-10-05
1o,1,ground,JUNCSPP,0.1,2024-10-05
1o,1,ground,CASTSAV,0.1,2024-10-05
1o,1,ground,HOLCLAN,1,2024-10-05
1o,1,shrub,CASTSAV,65,2024-10-05
1o,1,shrub,BETUSPP,5,2024-10-05
1o,1,shrub,RUBUSPP,1,2024-10-05
1o,1,shrub,ACERPSE,0.1,2024-10-05
1o,2,ground,HYACNON,40,2024-10-05
1o,2,ground,BETUSPP,1,2024-10-05
1o,2,ground,DRYODIL,0.1,2024-10-05
1o,2,ground,JUNCSPP,2,2024-10-05
1o,2,ground,RUBUSPP,2,2024-10-05
1o,2,ground,CASTSAV,0.1,2024-10-05
1o,2,ground,RUMESPP,1,2024-10-05
1o,2,ground,HOLCLAN,1,2024-10-05
1o,2,ground,POACFAM,1,2024-10-05
1o,2,ground,URTIDIO,0.1,2024-10-05
1o,2,ground,CIRSSPP,0.1,2024-10-05
1o,2,ground,HYPEAND,0.1,2024-10-05
1o,2,ground,ACERPSE,0.1,2024-10-05
1o,2,shrub,ACERPSE,0.1,2024-10-05
1o,2,shrub,CASTSAV,50,2024-10-05
1o,2,shrub,RUBUSPP,5,2024-10-05
1o,2,shrub,BETUSPP,25,2024-10-05
1o,3,ground,HYACNON,40,2024-10-05
1o,3,ground,RUBUSPP,2,2024-10-05
1o,3,ground,BETUSPP,0.1,2024-10-05
1o,3,ground,JUNCSPP,2,2024-10-05
1o,3,ground,HOLCLAN,2,2024-10-05
1o,3,ground,JACOVUL,0.1,2024-10-05
1o,3,ground,CASTSAV,0.1,2024-10-05
1o,3,ground,RUMESPP,0.1,2024-10-05
1o,3,ground,DRYODIL,0.1,2024-10-05
1o,3,shrub,BETUSPP,20,2024-10-05
1o,3,shrub,CASTSAV,50,2024-10-05
1o,3,shrub,JUNCSPP,0.1,2024-10-05
1o,3,shrub,RUBUSPP,5,2024-10-05
1o,4,ground,HYACNON,30,2024-10-05
1o,4,ground,RUBUSPP,1,2024-10-05
1o,4,ground,CASTSAV,0.1,2024-10-05
1o,4,ground,PLANMAJ,0.1,2024-10-05
1o,4,ground,URTIDIO,1,2024-10-05
1o,4,ground,JUNCSPP,5,2024-10-05
1o,4,ground,BETUSPP,2,2024-10-05
1o,4,ground,ACERPSE,1,2024-10-05
1o,4,ground,DRYODIL,2,2024-10-05
1o,4,ground,HOLCLAN,0.1,2024-10-05
1o,4,shrub,CASTSAV,75,2024-10-05
1o,4,shrub,ACERPSE,2,2024-10-05
1o,4,shrub,RUBUSPP,5,2024-10-05
1o,4,shrub,BETUSPP,5,2024-10-05
1mb,1,ground,HYACNON,90,2024-10-05
1mb,1,ground,CASTSAV,0.1,2024-10-05
1mb,1,ground,RUBUSPP,0.1,2024-10-05
1mb,1,ground,DRYODIL,2,2024-10-05
1mb,1,ground,ACERPSE,0.1,2024-10-05
1mb,1,shrub,ACERPSE,5,2024-10-05
1mb,1,shrub,CASTSAV,1,2024-10-05
1mb,2,ground,HYACNON,60,2024-10-05
1mb,2,ground,DRYODIL,10,2024-10-05
1mb,2,ground,RUBUSPP,1,2024-10-05
1mb,2,ground,URTIDIO,0.1,2024-10-05
1mb,2,ground,ACERPSE,0.1,2024-10-05
1mb,2,ground,CASTSAV,0.1,2024-10-05
1mb,2,shrub,ACERPSE,0.1,2024-10-05
1mb,2,shrub,DRYODIL,1,2024-10-05
1mb,2,shrub,RUBUSPP,0.1,2024-10-05
1mb,2,shrub,CASTSAV,0.1,2024-10-05
1mb,2,shrub,URTIDIO,0.1,2024-10-05
1mb,3,ground,HYACNON,30,2024-10-05
1mb,3,ground,DRYODIL,5,2024-10-05
1mb,3,ground,RUBUSPP,0.1,2024-10-05
1mb,3,ground,ACERPSE,0.1,2024-10-05
1mb,3,ground,RUMEOBT,0.1,2024-10-05
1mb,3,shrub,CASTSAV,10,2024-10-05
1mb,3,shrub,RUBUSPP,5,2024-10-05
1mb,3,shrub,DRYODIL,1,2024-10-05
1mb,3,shrub,ACERPSE,5,2024-10-05
1mb,4,ground,HYACNON,90,2024-10-05
