plotid,quadrant,layer,plantid,percent_cover,date
1mb,4,ground,ACERPSE,0.1,2024-10-05
1mb,4,ground,DRYODIL,2,2024-10-05
1mb,4,ground,RUBUSPP,1,2024-10-05
1mb,4,ground,CASTSAV,0.1,2024-10-05
1mb,4,shrub,CASTSAV,10,2024-10-05
1mb,4,shrub,ACERPSE,5,2024-10-05
1mb,4,shrub,RUBUSPP,0.1,2024-10-05
1mb,4,shrub,DRYODIL,0.1,2024-10-05
1i,1,ground,RUBUSPP,60,15-05-2024
1i,1,ground,JUNCSPP,1,15-05-2024
1i,1,ground,HYACNON,75,15-05-2024
1i,1,ground,RHODPON,5,15-05-2024
1i,1,ground,BETUPUB,0.1,15-05-2024
1i,1,shrub,CASTSAV,15,15-05-2024
1i,1,shrub,RHODPON,5,15-05-2024
1i,1,shrub,RUBUSPP,65,15-05-2024
1i,1,shrub,ACERPSE,10,15-05-2024
1i,1,shrub,BETUPEN,2,15-05-2024
1i,1,shrub,SALISPP,1,15-05-2024
1i,2,ground,HYACNON,70,15-05-2024
1i,2,ground,RUBUSPP,25,15-05-2024
1i,2,ground,RHODPON,0.1,15-05-2024
1i,2,shrub,CASTSAV,10,15-05-2024
1i,2,shrub,BETUPEN,10,15-05-2024
1i,2,shrub,RUBUSPP,90,15-05-2024
1i,3,ground,HYACNON,40,15-05-2024
1i,3,ground,RHODPON,15,15-05-2024
1i,3,ground,RUBUSPP,40,15-05-2024
1i,3,ground,DRYODIL,0.1,15-05-2024
1i,3,shrub,CASTSAV,25,15-05-2024
1i,3,shrub,RHODPON,10,15-05-2024
1i,3,shrub,RUBUSPP,40,15-05-2024
1i,3,shrub,BETUPEN,2,15-05-2024
1i,3,shrub,ACERPSE,2,15-05-2024
1i,4,ground,HOLCLAN,1,15-05-2024
1i,4,ground,RUBUSPP,30,15-05-2024
1i,4,ground,HYACNON,5,15-05-2024
1i,4,ground,QUERROB,0.1,15-05-2024
1i,4,ground,JUNCSPP,0.1,15-05-2024
1i,4,shrub,RUBUSPP,25,15-05-2024
1i,4,shrub,CASTSAV,20,15-05-2024
1i,4,shrub,QUERROB,1,15-05-2024
1i,4,shrub,RHODPON,1,15-05-2024
1i,4,shrub,BETUPEN,0.1,15-05-2024
1j,1,ground,CIRCLUT,10,15-05-2024
1j,1,ground,RUMEOBT,0.1,15-05-2024
1j,1,ground,POALORD,0.1,15-05-2024
1j,1,ground,HYACNON,15,15-05-2024
1j,1,ground,RUBUSPP,1,15-05-2024
1j,1,ground,GALIAPA,0.1,15-05-2024
1j,1,ground,DRYODIL,5,15-05-2024
1j,1,ground,URTIDIO,25,15-05-2024
1j,1,ground,CASTSAV,0.1,15-05-2024
1j,1,ground,PRUNVUL,1,15-05-2024
1j,1,shrub,CASTSAV,15,15-05-2024
1j,1,shrub,URTIDIO,0.1,15-05-2024
1j,1,shrub,DRYODIL,2,15-05-2024
1j,1,shrub,SAMBNIG,5,15-05-2024
1j,2,ground,RUMEOBT,0.1,15-05-2024
1j,2,ground,HYACNON,5,15-05-2024
1j,2,ground,CIRCLUT,10,15-05-2024
1j,2,ground,URTIDIO,5,15-05-2024
1j,2,ground,CASTSAV,1,15-05-2024
1j,2,ground,DRYODIL,2,15-05-2024
1j,2,ground,GALIAPA,0.1,15-05-2024
1j,2,shrub,URTIDIO,1,15-05-2024
1j,2,shrub,DRYODIL,0.1,15-05-2024
1j,2,shrub,CASTSAV,10,15-05-2024
1j,3,ground,CIRCLUT,20,15-05-2024
1j,3,ground,HYACNON,30,15-05-2024
1j,3,ground,RUMEOBT,1,15-05-2024
1j,3,ground,URTIDIO,5,15-05-2024
1j,3,ground,RUBUSPP,15,15-05-2024
1j,3,ground,DRYODIL,2,15-05-2024
1j,3,ground,GALIAPA,0.1,15-05-2024
1j,3,shrub,RUBUSPP,20,15-05-2024
1j,3,shrub,CASTSAV,40,15-05-2024
1j,3,shrub,URTIDIO,2,15-05-2024
1j,3,shrub,DRYODIL,0.1,15-05-2024
1j,4,ground,DRYODIL,10,15-05-2024
1j,4,ground,HYACNON,30,15-05-2024
1j,4,ground,CIRCLUT,15,15-05-2024
1j,4,ground,RUMEOBT,1,15-05-2024
1j,4,ground,RUBUSPP,30,15-05-2024
1j,4,ground,QUERROB,0.1,15-05-2024
1j,4,ground,CASTSAV,0.1,15-05-2024
1j,4,shrub,DRYODIL,5,15-05-2024
1j,4,shrub,CASTSAV,10,15-05-2024
1j,4,shrub,SAMBNIG,2,15-05-2024
1j,4,shrub,RUBUSPP,10,15-05-2024
2e,1,ground,HYACNON,75,16-05-2024
2e,1,ground,DRYODIL,5,16-05-2024
2e,1,ground,RUBUSPP,10,16-05-2024
2e,1,ground,MELISPP,0.1,16-05-2024
2e,1,shrub,RUBUSPP,75,16-05-2024
2e,1,shrub,CASTSAV,10,16-05-2024
2e,1,shrub,BETUPEN,2,16-05-2024
2e,1,shrub,DRYODIL,1,16-05-2024
2e,2,ground,HYACNON,90,16-05-2024
2e,2,ground,DRYODIL,10,16-05-2024
2e,2,ground,CASTSAV,0.1,16-05-2024
2e,2,ground,RUBUSPP,5,16-05-2024
2e,2,shrub,CASTSAV,5,16-05-2024
2e,2,shrub,DRYODIL,0.1,16-05-2024
2e,3,ground,HYACNON,60,16-05-2024
2e,3,ground,DRYODIL,10,16-05-2024
2e,3,ground,CASTSAV,1,16-05-2024
2e,3,ground,RUBUSPP,0.1,16-05-2024
2e,3,shrub,CASTSAV,2,16-05-2024
2e,3,shrub,DRYODIL,1,16-05-2024
2e,3,shrub,RUBUSPP,0.1,16-05-2024
2e,4,ground,HYACNON,90,16-05-2024
2e,4,ground,CASTSAV,1,16-05-2024
2e,4,ground,RUBUSPP,5,16-05-2024
2e,4,ground,DRYODIL,5,16-05-2024
2e,4,shrub,RUBUSPP,2,16-05-2024
2e,4,shrub,CASTSAV,10,16-05-2024
2e,4,shrub,DRYODIL,0.1,16-05-2024
1h,1,ground,HYACNON,15,20-05-2024
1h,1,ground,ACERPSE,0.1,20-05-2024
1h,1,ground,RHODPON,0.1,20-05-2024
1h,1,ground,PRUNLAU,0.1,20-05-2024
1h,1,ground,PTERAQU,1,20-05-2024
1h,1,shrub,RHODPON,45,20-05-2024
1h,1,shrub,ACERPSE,0.1,20-05-2024
1h,1,shrub,QUERROB,0.1,20-05-2024
1h,1,shrub,ILEXAQU,10,20-05-2024
1h,2,ground,HYACNON,50,20-05-2024
1h,2,ground,PTERAQU,0.1,20-05-2024
1h,2,ground,ACERPSE,0.1,20-05-2024
1h,2,ground,DRYODIL,0.1,20-05-2024
1h,2,shrub,RHODPON,10,20-05-2024
1h,3,ground,RHODPON,1,20-05-2024
1h,3,ground,HYACNON,2,20-05-2024
1h,3,shrub,RHODPON,70,20-05-2024
1h,4,ground,HYACNON,20,20-05-2024
1h,4,ground,ACERPSE,0.1,20-05-2024
1h,4,ground,CASTSAV,0.1,20-05-2024
1h,4,shrub,RHODPON,30,20-05-2024
1h,4,shrub,CASTSAV,1,20-05-2024
1ma,1,ground,HYACNON,95,20-05-2024
1ma,1,ground,PTERAQU,10,20-05-2024
1ma,1,ground,RUBUSPP,5,20-05-2024
1ma,1,ground,ACERPSE,0.1,20-05-2024
1ma,1,shrub,CASTSAV,10,20-05-2024
1ma,1,shrub,ACERPSE,10,20-05-2024
1ma,1,shrub,RUBUSPP,2,20-05-2024
1ma,2,ground,HYACNON,95,20-05-2024
1ma,2,ground,PTERAQU,25,20-05-2024
1ma,2,ground,RUBUSPP,5,20-05-2024
1ma,2,ground,RUMEOBT,0.1,20-05-2024
1ma,2,ground,ATHYFIL,0.1,20-05-2024
1ma,2,ground,DRYODIL,1,20-05-2024
1ma,2,ground,URTIDIO,0.1,20-05-2024
1ma,2,ground,CASTSAV,2,20-05-2024
1ma,2,shrub,CASTSAV,10,20-05-2024
1ma,2,shrub,PTERAQU,10,20-05-2024
1ma,2,shrub,RUBUSPP,1,20-05-2024
1ma,2,shrub,RUMEOBT,0.1,20-05-2024
1ma,3,ground,HYACNON,95,20-05-2024
1ma,3,ground,QUERROB,0.1,20-05-2024
1ma,3,ground,RUBUSPP,5,20-05-2024
1ma,3,ground,PTERAQU,10,20-05-2024
1ma,3,ground,RUMEOBT,0.1,20-05-2024
1ma,3,ground,CASTSAV,0.1,20-05-2024
1ma,3,ground,DRYODIL,1,20-05-2024
1ma,3,ground,ACERPSE,0.1,20-05-2024
1ma,3,shrub,RUBUSPP,5,20-05-2024
1ma,3,shrub,PTERAQU,1,20-05-2024
1ma,3,shrub,ACERPSE,15,20-05-2024
1ma,3,shrub,CASTSAV,1,20-05-2024
1ma,4,ground,HYACNON,95,20-05-2024
1ma,4,ground,PTERAQU,5,20-05-2024
1ma,4,ground,RUBUSPP,2,20-05-2024
1ma,4,shrub,CASTSAV,5,20-05-2024
1ma,4,shrub,BETUSPP,0.1,20-05-2024
1ma,4,shrub,PTERAQU,0.1,20-05-2024
1ma,4,shrub,RUBUSPP,0.1,20-05-2024
1n,1,ground,HYACNON,5,21-05-2024
1n,1,ground,BETUPUB,0.1,21-05-2024
1n,1,ground,CASTSAV,1,21-05-2024
1n,1,shrub,BETUPUB,1,21-05-2024
1n,1,shrub,CASTSAV,5,21-05-2024
1n,2,ground,CASTSAV,2,21-05-2024
1n,2,ground,HYACNON,2,21-05-2024
1n,2,ground,ILEXAQU,0.1,21-05-2024
1n,2,ground,ACERSPP,0.1,21-05-2024
1n,2,shrub,ACERSPP,0.1,21-05-2024
1n,2,shrub,CASTSAV,5,21-05-2024
1n,3,ground,ILEXAQU,0.1,21-05-2024
1n,3,ground,CASTSAV,0.1,21-05-2024
1n,3,shrub,CASTSAV,0.1,21-05-2024
1n,4,ground,BLECSPI,0.1,21-05-2024
1n,4,ground,ILEXAQU,0.1,21-05-2024
1n,4,ground,TSUGSPP,0.1,21-05-2024
1n,4,ground,CASTSAV,1,21-05-2024
1n,4,shrub,CASTSAV,10,21-05-2024
1caa,1,ground,DIGIPUR,25,22-05-2024
1caa,1,ground,HYACNON,60,22-05-2024
1caa,1,ground,JUNCSPP,2,22-05-2024
1caa,1,ground,CIRSSPP,0.1,22-05-2024
1caa,1,ground,HOLCLAN,15,22-05-2024
1caa,1,ground,ATHYFIL,5,22-05-2024
1caa,1,ground,RUBUSPP,1,22-05-2024
1caa,1,ground,RANUREP,0.1,22-05-2024
1caa,1,ground,RUMEOBT,0.1,22-05-2024
1caa,1,ground,CASTSAV,1,22-05-2024
1caa,1,ground,JACOVUL,0.1,22-05-2024
1caa,1,ground,ACERPSE,1,22-05-2024
1caa,1,ground,DRYODIL,0.1,22-05-2024
1caa,1,ground,LYCOEUR,0.1,22-05-2024
1caa,1,ground,EPILPAR,0.1,22-05-2024
1caa,1,ground,EPILTET,0.1,22-05-2024
1caa,1,ground,HYPEAND,0.1,22-05-2024
1caa,1,ground,BETUPEN,0.1,22-05-2024
1caa,1,ground,BETUPUB,0.1,22-05-2024
1caa,1,shrub,DIGIPUR,2,22-05-2024
1caa,1,shrub,ACERPSE,10,22-05-2024
1caa,1,shrub,CASTSAV,5,22-05-2024
1caa,2,ground,HOLCLAN,10,22-05-2024
1caa,2,ground,DIGIPUR,25,22-05-2024
1caa,2,ground,RUMEOBT,2,22-05-2024
1caa,2,ground,VIOLSPP,0.1,22-05-2024
1caa,2,ground,RANUREP,0.1,22-05-2024
1caa,2,ground,JUNCSPP,1,22-05-2024
1caa,2,ground,ATHYFIL,1,22-05-2024
1caa,2,ground,ACERPSE,10,22-05-2024
1caa,2,ground,RUBUSPP,1,22-05-2024
1caa,2,ground,JACOVUL,2,22-05-2024
1caa,2,ground,HYACNON,20,22-05-2024
1caa,2,ground,URTIDIO,0.1,22-05-2024
1caa,2,ground,HYPEAND,0.1,22-05-2024
1caa,2,ground,EPILPAR,0.1,22-05-2024
1caa,2,ground,CASTSAV,1,22-05-2024
1caa,2,ground,BETUPUB,0.1,22-05-2024
1caa,2,ground,CIRSSPP,0.1,22-05-2024
1caa,2,ground,DRYODIL,1,22-05-2024
1caa,2,shrub,DIGIPUR,0.1,22-05-2024
1caa,2,shrub,JACOVUL,1,22-05-2024
1caa,2,shrub,ACERPSE,10,22-05-2024
1caa,2,shrub,CASTSAV,5,22-05-2024
1caa,2,shrub,DRYODIL,0.1,22-05-2024
1caa,2,shrub,BETUPEN,0.1,22-05-2024
1caa,3,ground,DIGIPUR,10,22-05-2024
1caa,3,ground,RUBUSPP,5,22-05-2024
1caa,3,ground,ATHYFIL,2,22-05-2024
1caa,3,ground,HYACNON,15,22-05-2024
1caa,3,ground,CASTSAV,10,22-05-2024
1caa,3,ground,JACOVUL,1,22-05-2024
1caa,3,ground,BETUPEN,2,22-05-2024
1caa,3,ground,ACERPSE,2,22-05-2024
1caa,3,ground,DRYODIL,1,22-05-2024
1caa,3,ground,VIOLSPP,0.1,22-05-2024
1caa,3,shrub,CASTSAV,15,22-05-2024
1caa,3,shrub,ACERPSE,5,22-05-2024
1caa,3,shrub,BETUPEN,2,22-05-2024
1caa,3,shrub,DIGIPUR,1,22-05-2024
1caa,3,shrub,JACOVUL,0.1,22-05-2024
1caa,4,ground,HYACNON,60,22-05-2024
1caa,4,ground,HOLCLAN,5,22-05-2024
1caa,4,ground,ATHYFIL,15,22-05-2024
1caa,4,ground,DIGIPUR,2,22-05-2024
1caa,4,ground,BETUPEN,2,22-05-2024
1caa,4,ground,RUBUSPP,1,22-05-2024
1caa,4,ground,DRYODIL,1,22-05-2024
1caa,4,ground,CASTSAV,5,22-05-2024
1caa,4,ground,ACERPSE,5,22-05-2024
1caa,4,ground,TEUCSCO,0.1,22-05-2024
1caa,4,ground,JUNCSPP,0.1,22-05-2024
1caa,4,ground,VIOLSPP,0.1,22-05-2024
1caa,4,ground,EPILPAR,0.1,22-05-2024
1caa,4,ground,SCRONOD,0.1,22-05-2024
1caa,4,ground,RANUREP,0.1,22-05-2024
1caa,4,ground,SILEDIO,0.1,22-05-2024
1caa,4,shrub,ACERPSE,5,22-05-2024
1caa,4,shrub,CASTSAV,5,22-05-2024
1caa,4,shrub,BETUPEN,5,22-05-2024
1caa,4,shrub,DIGIPUR,1,22-05-2024
1cab,1,ground,GAULSHA,10,23-05-2024
1cab,1,ground,RUBUSPP,2,23-05-2024
1cab,1,ground,HYACNON,15,23-05-2024
1cab,1,ground,CASTSAV,0.1,23-05-2024
1cab,1,ground,PTERAQU,5,23-05-2024
1cab,1,shrub,GAULSHA,10,23-05-2024
1cab,1,shrub,RUBUSPP,0.1,23-05-2024
1cab,1,shrub,PTERAQU,1,23-05-2024
1cab,1,shrub,CASTSAV,10,23-05-2024
1cab,2,ground,RUBUSPP,5,23-05-2024
1cab,2,ground,PTERAQU,1,23-05-2024
1cab,2,ground,RHODPON,5,23-05-2024
1cab,2,ground,CASTSAV,2,23-05-2024
1cab,2,ground,HYACNON,0.1,23-05-2024
1cab,2,shrub,CASTSAV,15,23-05-2024
1cab,2,shrub,RHODPON,5,23-05-2024
1cab,3,ground,PTERAQU,5,23-05-2024
1cab,3,ground,RUBUSPP,1,23-05-2024
1cab,3,ground,CASTSAV,1,23-05-2024
1cab,3,ground,HYACNON,2,23-05-2024
1cab,3,ground,GAULSHA,15,23-05-2024
1cab,3,shrub,GAULSHA,10,23-05-2024
1cab,3,shrub,CASTSAV,10,23-05-2024
1cab,3,shrub,PTERAQU,0.1,23-05-2024
1cab,4,ground,GAULSHA,90,23-05-2024
1cab,4,ground,PTERAQU,2,23-05-2024
1cab,4,ground,HYACNON,5,23-05-2024
1cab,4,ground,RUBUSPP,2,23-05-2024
1cab,4,shrub,GAULSHA,80,23-05-2024
1cab,4,shrub,CASTSAV,15,23-05-2024
1cab,4,shrub,BETUSPP,5,23-05-2024
1cab,4,shrub,PTERAQU,0.1,23-05-2024
1cab,4,shrub,RUBUSPP,1,23-05-2024
